[    4378ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:1420/node_modules/.vite/deps/react-dom_client.js?v=94ea38b1:20102
[  925336ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  933226ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  941160ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  948998ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  955157ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  962798ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  968778ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  974655ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  979374ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  986995ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  991169ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  995312ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[ 1000682ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[ 1004873ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[ 1009184ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[ 1013703ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
